prenom,nom,lien,id_club
Kieran,Trippier,https://www.transfermarkt.fr/kieran-trippier/profil/spieler/95810,6
Emil,Krafth,https://www.transfermarkt.fr/emil-krafth/profil/spieler/184528,6
Harrison,Ashby,https://www.transfermarkt.fr/harrison-ashby/profil/spieler/559130,6
Sandro,Tonali,https://www.transfermarkt.fr/sandro-tonali/profil/spieler/397033,6
Bruno,Guimarães,https://www.transfermarkt.fr/bruno-guimaraes/profil/spieler/520624,6
Jacob,Ramsey,https://www.transfermarkt.fr/jacob-ramsey/profil/spieler/503749,6
Joelinton,,https://www.transfermarkt.fr/joelinton/profil/spieler/333241,6
Lewis,Miley,https://www.transfermarkt.fr/lewis-miley/profil/spieler/922769,6
Joe,Willock,https://www.transfermarkt.fr/joe-willock/profil/spieler/340329,6
Anthony,Gordon,https://www.transfermarkt.fr/anthony-gordon/profil/spieler/503733,6
Harvey,Barnes,https://www.transfermarkt.fr/harvey-barnes/profil/spieler/398065,6
Anthony,Elanga,https://www.transfermarkt.fr/anthony-elanga/profil/spieler/583189,6
Jacob,Murphy,https://www.transfermarkt.fr/jacob-murphy/profil/spieler/199527,6
Nick,Woltemade,https://www.transfermarkt.fr/nick-woltemade/profil/spieler/455661,6
Yoane,Wissa,https://www.transfermarkt.fr/yoane-wissa/profil/spieler/388165,6
William,Osula,https://www.transfermarkt.fr/william-osula/profil/spieler/609556,6
Senne,Lammens,https://www.transfermarkt.fr/senne-lammens/profil/spieler/503883,7
Altay,Bayındır,https://www.transfermarkt.fr/altay-bayindir/profil/spieler/336077,7
Tom,Heaton,https://www.transfermarkt.fr/tom-heaton/profil/spieler/34130,7
Leny,Yoro,https://www.transfermarkt.fr/leny-yoro/profil/spieler/923831,7
Matthijs,de Ligt,https://www.transfermarkt.fr/matthijs-de-ligt/profil/spieler/326031,7
Lisandro,Martínez,https://www.transfermarkt.fr/lisandro-martinez/profil/spieler/480762,7
Harry,Maguire,https://www.transfermarkt.fr/harry-maguire/profil/spieler/177907,7
Ayden,Heaven,https://www.transfermarkt.fr/ayden-heaven/profil/spieler/1078163,7
Tyler,Fredricson,https://www.transfermarkt.fr/tyler-fredricson/profil/spieler/911424,7
Patrick,Dorgu,https://www.transfermarkt.fr/patrick-dorgu/profil/spieler/926952,7
Luke,Shaw,https://www.transfermarkt.fr/luke-shaw/profil/spieler/183288,7
Tyrell,Malacia,https://www.transfermarkt.fr/tyrell-malacia/profil/spieler/339340,7
Diego,León,https://www.transfermarkt.fr/diego-leon/profil/spieler/1283997,7
Diogo,Dalot,https://www.transfermarkt.fr/diogo-dalot/profil/spieler/357147,7
Noussair,Mazraoui,https://www.transfermarkt.fr/noussair-mazraoui/profil/spieler/340456,7
Manuel,Ugarte,https://www.transfermarkt.fr/manuel-ugarte/profil/spieler/476701,7
Casemiro,,https://www.transfermarkt.fr/casemiro/profil/spieler/16306,7
Kobbie,Mainoo,https://www.transfermarkt.fr/kobbie-mainoo/profil/spieler/820374,7
Bruno,Fernandes,https://www.transfermarkt.fr/bruno-fernandes/profil/spieler/240306,7
Mason,Mount,https://www.transfermarkt.fr/mason-mount/profil/spieler/346483,7
Bryan,Mbeumo,https://www.transfermarkt.fr/bryan-mbeumo/profil/spieler/413039,7
Amad,Diallo,https://www.transfermarkt.fr/amad-diallo/profil/spieler/536835,7
Matheus,Cunha,https://www.transfermarkt.fr/matheus-cunha/profil/spieler/517894,7
Benjamin,Sesko,https://www.transfermarkt.fr/benjamin-sesko/profil/spieler/627442,7
Joshua,Zirkzee,https://www.transfermarkt.fr/joshua-zirkzee/profil/spieler/435648,7
Chido,Obi,https://www.transfermarkt.fr/chido-obi/profil/spieler/1042886,7
John,Victor,https://www.transfermarkt.fr/john-victor/profil/spieler/432914,8
Matz,Sels,https://www.transfermarkt.fr/matz-sels/profil/spieler/127202,8
Angus,Gunn,https://www.transfermarkt.fr/angus-gunn/profil/spieler/201574,8
Murillo,,https://www.transfermarkt.fr/murillo/profil/spieler/1005649,8
Nikola,Milenković,https://www.transfermarkt.fr/nikola-milenkovic/profil/spieler/413507,8
Morato,,https://www.transfermarkt.fr/morato/profil/spieler/673492,8
Jair,Cunha,https://www.transfermarkt.fr/jair-cunha/profil/spieler/984096,8
Willy,Boly,https://www.transfermarkt.fr/willy-boly/profil/spieler/142310,8
Zach,Abbott,https://www.transfermarkt.fr/zach-abbott/profil/spieler/933017,8
Neco,Williams,https://www.transfermarkt.fr/neco-williams/profil/spieler/503680,8
Oleksandr,Zinchenko,https://www.transfermarkt.fr/oleksandr-zinchenko/profil/spieler/203853,8
Ola,Aina,https://www.transfermarkt.fr/ola-aina/profil/spieler/236490,8
Nicolò,Savona,https://www.transfermarkt.fr/nicolo-savona/profil/spieler/708072,8
Ibrahim,Sangaré,https://www.transfermarkt.fr/ibrahim-sangare/profil/spieler/375885,8
Elliot,Anderson,https://www.transfermarkt.fr/elliot-anderson/profil/spieler/567576,8
Douglas,Luiz,https://www.transfermarkt.fr/douglas-luiz/profil/spieler/447661,8
Nicolás,Domínguez,https://www.transfermarkt.fr/nicolas-dominguez/profil/spieler/497291,8
Ryan,Yates,https://www.transfermarkt.fr/ryan-yates/profil/spieler/425902,8
Morgan,Gibbs-White,https://www.transfermarkt.fr/morgan-gibbs-white/profil/spieler/429014,8
Omari,Hutchinson,https://www.transfermarkt.fr/omari-hutchinson/profil/spieler/741238,8
James,McAtee,https://www.transfermarkt.fr/james-mcatee/profil/spieler/583199,8
Callum,Hudson-Odoi,https://www.transfermarkt.fr/callum-hudson-odoi/profil/spieler/392768,8
